"","date","ReviewSource","brand","n"
"199",2019-07-12,"Playstore","flutterwave",1
"200",2019-07-13,"Playstore","flutterwave",2
"201",2019-07-14,"Playstore","flutterwave",1
"202",2019-07-15,"Playstore","flutterwave",2
"203",2019-07-17,"Playstore","flutterwave",2
"204",2019-07-18,"Playstore","flutterwave",1
"205",2019-07-19,"Playstore","flutterwave",4
"206",2019-07-20,"Playstore","flutterwave",1
"207",2019-07-22,"Playstore","flutterwave",1
"208",2019-07-23,"Playstore","flutterwave",1
"209",2019-07-24,"Playstore","flutterwave",1
"210",2019-07-25,"Playstore","flutterwave",1
"211",2019-07-26,"Playstore","flutterwave",6
"212",2019-07-27,"Playstore","flutterwave",3
"213",2019-07-28,"Playstore","flutterwave",1
"214",2019-07-30,"Playstore","flutterwave",2
"215",2019-08-01,"Playstore","flutterwave",1
"216",2019-08-04,"Playstore","flutterwave",3
"217",2019-08-05,"Playstore","flutterwave",1
"218",2019-08-06,"Playstore","flutterwave",6
"219",2019-08-07,"Playstore","flutterwave",1
"220",2019-08-08,"Playstore","flutterwave",5
"221",2019-08-09,"Playstore","flutterwave",1
"222",2019-08-10,"Playstore","flutterwave",4
"223",2019-08-11,"Playstore","flutterwave",2
"224",2019-08-12,"Playstore","flutterwave",1
"225",2019-08-13,"Playstore","flutterwave",2
"226",2019-08-14,"Playstore","flutterwave",3
"227",2019-08-15,"Playstore","flutterwave",3
"228",2019-08-16,"Playstore","flutterwave",1
"229",2019-08-18,"Playstore","flutterwave",1
"230",2019-08-19,"Playstore","flutterwave",2
"231",2019-08-21,"Playstore","flutterwave",5
"232",2019-08-22,"Playstore","flutterwave",1
"233",2019-08-23,"Playstore","flutterwave",2
"234",2019-08-25,"Playstore","flutterwave",2
"235",2019-08-26,"Playstore","flutterwave",3
"236",2019-08-27,"Playstore","flutterwave",10
"237",2019-08-28,"AppStore","flutterwave",1
"238",2019-08-28,"Playstore","flutterwave",43
"239",2019-08-29,"Playstore","flutterwave",39
"240",2019-08-30,"Playstore","flutterwave",10
"241",2019-08-31,"Playstore","flutterwave",2
"242",2019-09-01,"Playstore","flutterwave",16
"243",2019-09-02,"Playstore","flutterwave",7
"244",2019-09-03,"Playstore","flutterwave",5
"245",2019-09-04,"Playstore","flutterwave",13
"246",2019-09-05,"AppStore","flutterwave",1
"247",2019-09-05,"Playstore","flutterwave",19
"248",2019-09-06,"AppStore","flutterwave",1
"249",2019-09-06,"Playstore","flutterwave",26
"250",2019-09-07,"AppStore","flutterwave",1
"251",2019-09-07,"Playstore","flutterwave",65
